"ID";"global_id";"AdmArea";"District";"Address";"RegionOfFair";"PeriodOfPlacement";"Goods";"geoData";
"178";"930414355";"Восточный административный округ";"район Новогиреево";"город Москва, Зелёный проспект, дом 77, корпус 1";"Московская область";"01.07.2019-15.07.2019";"клубника и земляника";"{type=Point, coordinates=[37.815575, 55.752052]}";
"170";"930414356";"Юго-Западный административный округ";"район Котловка";"город Москва, улица Ремизова, дом 15, корпус 1";"Московская область";"01.07.2019-15.07.2019";"клубника и земляника";"{type=Point, coordinates=[37.604327, 55.674746]}";
"171";"930414357";"Южный административный округ";"район Бирюлёво Восточное";"город Москва, Бирюлёвская улица, дом 15";"Московская область";"01.07.2019-15.07.2019";"клубника и земляника";"{type=Point, coordinates=[37.663019, 55.595978]}";
"172";"930414358";"Восточный административный округ";"район Перово";"город Москва, 2-я Владимирская улица, дом 41, корпус 1";"Московская область";"01.07.2019-15.07.2019";"клубника и земляника";"{type=Point, coordinates=[37.784931, 55.75128]}";
"175";"930414360";"Восточный административный округ";"район Соколиная Гора";"город Москва, Щербаковская улица, дом 5А";"Московская область";"01.07.2019-15.07.2019";"клубника и земляника";"{type=Point, coordinates=[37.724184, 55.782585]}";
"29";"930414361";"Юго-Западный административный округ";"район Черёмушки";"город Москва, Нахимовский проспект, дом 51/21";"Брянская область";"11.07.2019-17.07.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.563965045981625, 55.67718930594285]}";
"67";"930414362";"Северо-Восточный административный округ";"Бутырский район";"город Москва, улица Фонвизина, дом 5";"Воронежская область";"01.07.2019-15.07.2019";"клубника и земляника";"{type=Point, coordinates=[37.58296, 55.820049]}";
"70";"930414363";"Северо-Восточный административный округ";"Лосиноостровский район";"город Москва, улица Малыгина, дом 5, корпус 1";"Воронежская область";"01.07.2019-15.07.2019";"клубника и земляника";"{type=Point, coordinates=[37.696075, 55.880225]}";
"237";"930414364";"Северо-Восточный административный округ";"район Бибирево";"город Москва, Мурановская улица, дом 7, строение 1";"Воронежская область";"01.07.2019-15.07.2019";"клубника и земляника";"{type=Point, coordinates=[37.595778, 55.889481]}";
"254";"930414366";"Северо-Восточный административный округ";"район Марфино";"город Москва, улица Кашёнкин Луг, дом 6, корпус 3, строение 1";"Воронежская область";"01.07.2019-15.07.2019";"клубника и земляника";"{type=Point, coordinates=[37.596772, 55.826148]}";
"34";"930414368";"Восточный административный округ";"район Гольяново";"город Москва, Уральская улица, дом 4";"Воронежская область";"11.07.2019-17.07.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.79885072650054, 55.81108099001607]}";
"154";"930414369";"Северо-Восточный административный округ";"Бабушкинский район";"город Москва, улица Лётчика Бабушкина, дом 31";"Воронежская область";"01.07.2019-15.07.2019";"клубника и земляника";"{type=Point, coordinates=[37.675608, 55.870025]}";
"29";"930414370";"Юго-Западный административный округ";"район Черёмушки";"город Москва, Нахимовский проспект, дом 51/21";"Псковская область";"01.07.2019-07.07.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.563965045981625, 55.67718930594285]}";
"228";"930414371";"Южный административный округ";"район Бирюлёво Западное";"город Москва, Булатниковский проезд, дом 6, корпус 1";"Курская область";"21.07.2019-27.07.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.65150946051868, 55.59314080704914]}";
"228";"930414372";"Южный административный округ";"район Бирюлёво Западное";"город Москва, Булатниковский проезд, дом 6, корпус 1";"Республика Беларусь";"21.07.2019-27.07.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.65150946051868, 55.59314080704914]}";
"112";"930414373";"Юго-Восточный административный округ";"район Люблино";"город Москва, Краснодарская улица, дом 57, корпус 1";"Рязанская область";"21.07.2019-27.07.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.766164, 55.676494]}";
"35";"933942471";"Южный административный округ";"район Царицыно";"город Москва, Пролетарский проспект, дом 18";"Липецкая область";"11.08.2019-17.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.656693306607316, 55.634940316808425]}";
"112";"933942472";"Юго-Восточный административный округ";"район Люблино";"город Москва, Краснодарская улица, дом 57, корпус 1";"Республика Беларусь";"01.08.2019-07.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.766164, 55.676494]}";
"228";"933942473";"Южный административный округ";"район Бирюлёво Западное";"город Москва, Булатниковский проезд, дом 6, корпус 1";"Брянская область";"01.08.2019-17.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.65150946051868, 55.59314080704914]}";
"29";"933942474";"Юго-Западный административный округ";"район Черёмушки";"город Москва, Нахимовский проспект, дом 51/21";"Карачаево-Черкесская Республика";"11.08.2019-17.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.563965045981625, 55.67718930594285]}";
"34";"933942476";"Восточный административный округ";"район Гольяново";"город Москва, Уральская улица, дом 4";"Владимирская область";"01.08.2019-07.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.79885072650054, 55.81108099001607]}";
"28";"933942477";"Восточный административный округ";"район Новогиреево";"город Москва, Зелёный проспект, дом 81";"Рязанская область";"21.08.2019-27.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.819555420158196, 55.751808551299625]}";
"35";"933942478";"Южный административный округ";"район Царицыно";"город Москва, Пролетарский проспект, дом 18";"Воронежская область";"01.08.2019-07.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.656693306607316, 55.634940316808425]}";
"29";"933942479";"Юго-Западный административный округ";"район Черёмушки";"город Москва, Нахимовский проспект, дом 51/21";"Владимирская область";"21.08.2019-27.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.563965045981625, 55.67718930594285]}";
"29";"933942480";"Юго-Западный административный округ";"район Черёмушки";"город Москва, Нахимовский проспект, дом 51/21";"Ивановская область";"11.08.2019-17.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.563965045981625, 55.67718930594285]}";
"34";"933942481";"Восточный административный округ";"район Гольяново";"город Москва, Уральская улица, дом 4";"Республика Марий Эл";"11.08.2019-17.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.79885072650054, 55.81108099001607]}";
"34";"933942482";"Восточный административный округ";"район Гольяново";"город Москва, Уральская улица, дом 4";"Чувашская Республика";"11.08.2019-17.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.79885072650054, 55.81108099001607]}";
"28";"933942484";"Восточный административный округ";"район Новогиреево";"город Москва, Зелёный проспект, дом 81";"Тверская область";"01.08.2019-07.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.819555420158196, 55.751808551299625]}";
"28";"933942485";"Восточный административный округ";"район Новогиреево";"город Москва, Зелёный проспект, дом 81";"Белгородская область";"01.08.2019-07.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.819555420158196, 55.751808551299625]}";
"28";"933942486";"Восточный административный округ";"район Новогиреево";"город Москва, Зелёный проспект, дом 81";"Ивановская область";"11.08.2019-17.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.819555420158196, 55.751808551299625]}";
